Ind Date Anchor,Ind Date Span,Ind Id,Ind Obs Note,Ind Place,Ind Place Type,Ind Rate Word,ind_selectname,Is projected word,Ind Rate Pct Change,Ind Denom,Ind Num,Ind Rate
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Alamance,County,LOW,Death: Overdose Death,,,"152,692",21,13.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Alexander,County,MIDDLE,Death: Overdose Death,,,"37,026",10,27
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Alleghany,County,LOWEST,Death: Overdose Death,,,"11,016",1,9.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Anson,County,LOW,Death: Overdose Death,,,"26,512",3,11.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Ashe,County,LOW,Death: Overdose Death,,,"26,986",3,11.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Avery,County,LOW,Death: Overdose Death,,,"17,770",3,16.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Beaufort,County,LOWEST,Death: Overdose Death,,,"47,675",4,8.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Bertie,County,LOWEST (ZERO),Death: Overdose Death,,,"20,858",0,0
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Bladen,County,LOWEST,Death: Overdose Death,,,"34,880",3,8.6
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Brunswick,County,MIDDLE,Death: Overdose Death,,,"110,185",29,26.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Buncombe,County,LOW,Death: Overdose Death,,,"241,172",33,13.7
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Burke,County,LOW,Death: Overdose Death,,,"90,542",15,16.6
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Cabarrus,County,LOWEST,Death: Overdose Death,,,"181,175",18,9.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Caldwell,County,LOW,Death: Overdose Death,,,"82,451",12,14.6
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Camden,County,LOWEST,Death: Overdose Death,,,"10,024",1,10
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Carteret,County,MIDDLE,Death: Overdose Death,,,"67,418",18,26.7
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Caswell,County,LOWEST,Death: Overdose Death,,,"23,456",2,8.5
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Catawba,County,LOW,Death: Overdose Death,,,"154,459",29,18.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Chatham,County,LOW,Death: Overdose Death,,,"64,109",7,10.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Cherokee,County,HIGHEST,Death: Overdose Death,,,"27,180",17,62.5
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Chowan,County,LOWEST (ZERO),Death: Overdose Death,,,"14,807",0,0
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Clay,County,LOWEST,Death: Overdose Death,,,"10,686",1,9.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Cleveland,County,LOW,Death: Overdose Death,,,"97,442",12,12.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Columbus,County,MIDDLE,Death: Overdose Death,,,"57,705",13,22.5
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Craven,County,LOWEST,Death: Overdose Death,,,"104,831",7,6.7
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Cumberland,County,LOW,Death: Overdose Death,,,"330,503",45,13.6
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Currituck,County,LOW,Death: Overdose Death,,,"23,906",3,12.5
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Dare,County,MIDDLE,Death: Overdose Death,,,"34,156",8,23.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Davidson,County,MIDDLE,Death: Overdose Death,,,"162,923",34,20.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Davie,County,LOW,Death: Overdose Death,,,"41,335",5,12.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Duplin,County,LOWEST,Death: Overdose Death,,,"59,216",4,6.8
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Durham,County,LOWEST,Death: Overdose Death,,,"276,563",26,9.4
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Edgecombe,County,LOWEST,Death: Overdose Death,,,"56,050",5,8.9
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Forsyth,County,LOW,Death: Overdose Death,,,"354,524",50,14.1
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Franklin,County,LOWEST,Death: Overdose Death,,,"60,946",2,3.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Gaston,County,LOW,Death: Overdose Death,,,"206,886",40,19.3
12/31/2011,Year,DEATH_ANY_MED_DRUG, ,Gates,County,LOWEST,Death: Overdose Death,,,"12,043",1,8.3
