"ind_date_anchor","ind_obs_note","ind_place","ind_num_Death: Overdose Death","ind_num_Death: Illicit Opioid Overdose","ind_num_CSRS: Patients Receiving Buprenorphine","ind_num_CSRS: Patients Receiving Opioids","ind_num_DMH: Treatment Services","ind_num_DSS: Foster Care due to Parental SU","ind_num_ED Visits: Overdose ED Visit","ind_denom_Death: Overdose Death","ind_denom_Death: Illicit Opioid Overdose","ind_denom_CSRS: Patients Receiving Buprenorphine","ind_denom_CSRS: Patients Receiving Opioids","ind_denom_DMH: Treatment Services","ind_denom_DSS: Foster Care due to Parental SU","ind_denom_ED Visits: Overdose ED Visit","ind_rate_Death: Overdose Death","ind_rate_Death: Illicit Opioid Overdose","ind_rate_CSRS: Patients Receiving Buprenorphine","ind_rate_CSRS: Patients Receiving Opioids","ind_rate_DMH: Treatment Services","ind_rate_DSS: Foster Care due to Parental SU","ind_rate_ED Visits: Overdose ED Visit"
"2011",NA,"Alamance",21,2,NA,NA,NA,NA,NA,152692,21,NA,NA,NA,NA,NA,13.8,9.523809524,NA,NA,NA,NA,NA
"2011",NA,"Alexander",10,2,NA,NA,NA,NA,NA,37026,10,NA,NA,NA,NA,NA,27,20,NA,NA,NA,NA,NA
"2011",NA,"Alleghany",1,1,NA,NA,NA,NA,NA,11016,1,NA,NA,NA,NA,NA,9.1,100,NA,NA,NA,NA,NA
"2011",NA,"Anson",3,1,NA,NA,NA,NA,NA,26512,3,NA,NA,NA,NA,NA,11.3,33.333333333,NA,NA,NA,NA,NA
"2011",NA,"Ashe",3,0,NA,NA,NA,NA,NA,26986,3,NA,NA,NA,NA,NA,11.1,0,NA,NA,NA,NA,NA
"2011",NA,"Avery",3,2,NA,NA,NA,NA,NA,17770,3,NA,NA,NA,NA,NA,16.9,66.666666667,NA,NA,NA,NA,NA
"2011",NA,"Beaufort",4,0,NA,NA,NA,NA,NA,47675,4,NA,NA,NA,NA,NA,8.4,0,NA,NA,NA,NA,NA
"2011",NA,"Bertie",0,0,NA,NA,NA,NA,NA,20858,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"2011",NA,"Bladen",3,1,NA,NA,NA,NA,NA,34880,3,NA,NA,NA,NA,NA,8.6,33.333333333,NA,NA,NA,NA,NA
"2011",NA,"Brunswick",29,3,NA,NA,NA,NA,NA,110185,29,NA,NA,NA,NA,NA,26.3,10.344827586,NA,NA,NA,NA,NA
"2011",NA,"Buncombe",33,2,NA,NA,NA,NA,NA,241172,33,NA,NA,NA,NA,NA,13.7,6.060606061,NA,NA,NA,NA,NA
"2011",NA,"Burke",15,3,NA,NA,NA,NA,NA,90542,15,NA,NA,NA,NA,NA,16.6,20,NA,NA,NA,NA,NA
"2011",NA,"Cabarrus",18,2,NA,NA,NA,NA,NA,181175,18,NA,NA,NA,NA,NA,9.9,11.111111111,NA,NA,NA,NA,NA
"2011",NA,"Caldwell",12,3,NA,NA,NA,NA,NA,82451,12,NA,NA,NA,NA,NA,14.6,25,NA,NA,NA,NA,NA
"2011",NA,"Camden",1,0,NA,NA,NA,NA,NA,10024,1,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA
